batch_id,orig_FIs,grp_FIs,ipca_FIs,fd_FIs,time_orig_s,time_grp_s,time_ipca_s,time_fd_s,jaccard_grp,jaccard_ipca,jaccard_fd,mae_grp,mae_ipca,mae_fd
1,330,183,3430,1386,2.0257983400006196,0.28858770500119135,9.237319395999293,3.2612735839993547,0.5625,0.7543859649122807,0.6129032258064516,0.021744080145719494,0.07803564620663363,0.04216997411561691
2,297,149,2880,1122,2.4814130249997106,0.18903313699956925,8.223869617999298,2.9771817740002007,0.4925373134328358,0.6666666666666666,0.639344262295082,0.01788375558867362,0.07722848360655737,0.03938104245481294
3,338,206,3206,1200,2.8366972989988426,0.12986393699975451,8.478223457999775,2.7180419100004656,0.4925373134328358,0.7543859649122807,0.7543859649122807,0.020181321410829605,0.07863133816240946,0.036122760198246284
4,375,198,2893,984,2.8734959150006034,0.14770936500099197,9.415769260000161,2.108333304999178,0.5384615384615384,0.7543859649122807,0.7241379310344828,0.021311475409836068,0.06674132672512391,0.03456772053083528
5,395,198,2978,1339,3.2070631599999615,0.1859780930008128,8.626230030999068,3.0472068380004202,0.5625,0.639344262295082,0.6949152542372882,0.020691029143897994,0.07676544766708701,0.036035585765693726
6,360,185,2318,899,2.6604827050014137,0.14378410999961488,7.387171042000773,2.5975167710003007,0.5384615384615384,0.7241379310344828,0.7543859649122807,0.019525761124121778,0.07118462138953942,0.03371616469691193
7,402,173,2409,885,3.4913280780001514,0.16831513099896256,7.514463842000623,2.549127498999951,0.5151515151515151,0.6666666666666666,0.639344262295082,0.021697203471552552,0.07215676229508197,0.03163093736864228
8,448,170,2618,1112,2.780954798001403,0.1285268100000394,7.674285393999526,2.589516273001209,0.6666666666666666,0.639344262295082,0.7543859649122807,0.023463114754098364,0.07166876839007988,0.031333396873808615
9,411,158,2844,1272,3.6949016110011144,0.14515276800011634,7.965873569000905,3.2691990790008276,0.5151515151515151,0.639344262295082,0.7241379310344828,0.022571118611378976,0.07613493064312736,0.035519125683060114
10,521,161,3264,1618,4.734312795000733,0.12160881199997675,8.83365271799994,4.705024327000501,0.5873015873015873,0.6949152542372882,0.7543859649122807,0.02547629596809925,0.07599460215913634,0.03750476553564621
11,531,158,3744,1579,5.182871901000908,0.15449184799945215,10.289324351999312,3.812583659999291,0.5625,0.639344262295082,0.639344262295082,0.0234801912568306,0.08188839848675915,0.03622845733501471
12,664,161,4040,1903,5.613747209999929,0.18317341300098633,11.184047593000287,5.095244097001341,0.5151515151515151,0.6129032258064516,0.639344262295082,0.02570515911282546,0.07212575496117343,0.037253047498949136
13,512,243,5460,2415,3.9383734530001675,0.3221196129998134,15.959854289998475,6.2483173010004975,0.5384615384615384,0.6129032258064516,0.639344262295082,0.020345433255269326,0.07770707506471097,0.041535308953341746
14,477,250,5929,2106,4.101225896998585,0.24957982399973844,16.653857995999715,3.7760794939986226,0.5384615384615384,0.6129032258064516,0.6666666666666666,0.020111241217798597,0.08059210526315788,0.043775614754098365
15,464,248,6365,2177,2.874511709000217,0.19744091000029584,12.164913126000101,3.75565830099913,0.4084507042253521,0.639344262295082,0.6129032258064516,0.02236433013001696,0.0889029003783102,0.0462144089732528
16,404,232,4703,1645,2.3360552020003524,0.12752749700121058,8.899217797999881,2.7427915440002835,0.4925373134328358,0.7241379310344828,0.7241379310344828,0.02052285146547442,0.08921252927400468,0.050156128024980484
17,442,222,5670,2471,2.45098818400038,0.13364153899965459,11.109672282000247,4.440227852999669,0.4084507042253521,0.639344262295082,0.6666666666666666,0.023388920293951385,0.08711643547709122,0.04695184426229508
18,431,242,5027,1896,2.8966863049990934,0.14535745200009842,9.6918629339998,3.291465963000519,0.5151515151515151,0.6666666666666666,0.7241379310344828,0.02178760848601736,0.09456967213114753,0.050107338017174076
19,352,174,4226,1655,2.090963646000091,0.1330220060008287,8.022873411999171,2.8140455089996976,0.5151515151515151,0.639344262295082,0.6949152542372882,0.018291200777831793,0.07837995337995338,0.045479741987502514
